,Category,Word,FirstLetter,Word.1,Freq
480,Beruf,Ausbildungskoordinatorin,A,,1.0
481,Beruf,Ausbildungslehrer,A,,3.0
482,Beruf,Ausbildungslehrerin,A,,1.0
483,Beruf,Ausbildungsleiter,A,,57.0
484,Beruf,Ausbildungsleiterin,A,,20.0
485,Beruf,Ausbildungsmeister,A,,2.0
486,Beruf,Ausbildungsoffizier,A,,3.0
487,Beruf,Ausbildungspersonal,A,,9.0
488,Beruf,Ausbildungsreferent,A,,1.0
489,Beruf,Ausbildungsreferentin,A,,2.0
490,Beruf,Ausgießer,A,,1.0
491,Beruf,Ausgleichsamt,A,,1.0
492,Beruf,Auskunftsdienst,A,,5.0
493,Beruf,Auskunftserteilung,A,,41.0
494,Beruf,Auskunftsmittel,A,,1.0
495,Beruf,Auskunftsperson,A,,12.0
496,Beruf,Auslandskorrespondent,A,,10.0
497,Beruf,Auslandskorrespondentin,A,,3.0
498,Beruf,Auslandsvertreter,A,,1.0
499,Beruf,Auslieferungsfahrer,A,,6.0
500,Beruf,Ausländeramt,A,,12.0
501,Beruf,Ausländerarbeit,A,,2.0
502,Beruf,Ausländerbeauftragte,A,,20.0
503,Beruf,Ausländerbeauftragter,A,,6.0
504,Beruf,Ausländerbehörde,A,,254.0
505,Beruf,Ausländerbeirat,A,,8.0
506,Beruf,Ausländerberater,A,,1.0
507,Beruf,Ausrüster,A,,43.0
508,Beruf,Ausstatter,A,,13.0
509,Beruf,Ausstatterin,A,,1.0
510,Beruf,Ausstattungsleiter,A,,3.0
511,Beruf,Ausstattungsleiterin,A,,1.0
512,Beruf,Aussteller,A,,535.0
513,Beruf,Ausstellungsarchitektur,A,,10.0
514,Beruf,Ausstellungsgestalter,A,,2.0
515,Beruf,Ausstellungsgestalterin,A,,1.0
516,Beruf,Austräger,A,,3.0
517,Beruf,Austräger/in,A,,1.0
518,Beruf,Auszubildende,A,,959.0
519,Beruf,Autodesigner,A,,1.0
520,Beruf,Autoelektriker,A,,1.0
521,Beruf,Autoexperte,A,,7.0
522,Beruf,Autofachwerker,A,,1.0
523,Beruf,Autohändler,A,,45.0
524,Beruf,Autohändlerin,A,,1.0
525,Beruf,Autolackierer,A,,1.0
526,Beruf,Automatenfachmann,A,,1.0
527,Beruf,Automechaniker,A,,24.0
528,Beruf,Automechanikerin,A,,2.0
529,Beruf,Automobil-Serviceberater,A,,3.0
530,Beruf,Automobilbauer,A,,8.0
531,Beruf,Automobildesigner,A,,2.0
532,Beruf,Automobilexperte,A,,2.0
533,Beruf,Automobilhersteller,A,,164.0
534,Beruf,Automobilist,A,,2.0
535,Beruf,Automobilistin,A,,2.0
536,Beruf,Automobilkauffrau,A,,2.0
537,Beruf,Automobilkaufmann,A,,6.0
538,Beruf,Automobilkaufmann/-frau,A,,4.0
539,Beruf,Automobilproduzent,A,,1.0
540,Beruf,Automobilverkäufer,A,,2.0
541,Beruf,Autor,A,,2852.0
542,Beruf,Autorin,A,,1171.0
543,Beruf,Autoschlosser,A,,4.0
544,Beruf,Autovermieter,A,,28.0
545,Beruf,Autoversicherer,A,,9.0
546,Beruf,Autowerkstatt,A,,43.0
547,Beruf,Autowäscher,A,,1.0
548,Beruf,Autozulieferer,A,,67.0
549,Beruf,Auxiliartruppe,A,,1.0
550,Beruf,Außenamt,A,,6.0
551,Beruf,Außenamtssprecher,A,,14.0
552,Beruf,Außenamtssprecherin,A,,3.0
553,Beruf,Außendienstler,A,,8.0
554,Beruf,Außendienstmitarbeiter,A,,25.0
555,Beruf,Außendienstmitarbeiter/in,A,,1.0
556,Beruf,Außendienstmitarbeiterin,A,,2.0
557,Beruf,Außenhandelsassistentin,A,,1.0
558,Beruf,Außenhandelskauffrau,A,,6.0
559,Beruf,Außenhandelskaufmann,A,,5.0
560,Beruf,Außenhandelskaufmann/-frau,A,,3.0
561,Beruf,Außenminister,A,,626.0
562,Beruf,Außenministerin,A,,217.0
563,Beruf,Außenpolitiker,A,,18.0
564,Beruf,Azubi,A,,174.0
565,Beruf,Azubine,A,,1.0
566,Beruf,BMSR-Techniker,B,,1.0
567,Beruf,Babysitter,B,,51.0
568,Beruf,Babysitterin,B,,10.0
